學號;P1;P2;P3;P4;P5;P6;P7;P8_1;P8_2;P8_3;P9_1;P9_2;P10;P11;P12;P13;P14;P15;程式錯誤;檔案格式錯誤;倍率遲交折扣;總分
R11942083;10;5;5;10;10;5;10;2;4;4;5;5;5;5;5;3;3;0;;;1;96
R11942104;10;5;5;10;10;10;10;2;0;4;5;0;5;5;5;0;0;0;;;1;86
R11942195;10;5;5;10;10;10;5;2;4;4;5;5;5;5;5;0;0;0;;;1;90
R10942129;10;5;5;10;10;5;10;2;0;4;5;5;5;5;5;3;3;4;;;1;96
R10942155;10;5;5;10;5;10;10;2;4;2;5;5;2,5;5;5;0;0;0;;;1;85,5
R10942156;10;5;5;10;10;10;10;2;4;4;5;5;5;5;2,5;3;3;4;;;1;102,5
R11944022;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;0;;;1;101
R10944044;;;;;;;;;;;;;;;;;;;;;;
R10945002;10;5;5;10;10;10;0;2;4;4;5;5;5;5;5;3;3;4;;;1;95
R11945005;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;0;3;4;;;1;102
R11945018;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R11945044;10;5;5;10;10;5;0;2;4;4;5;5;5;5;5;1,5;1,5;4;;;1;87
R11946012;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;0;0;;;0,8;78,4
R10946030;10;5;5;10;10;10;0;2;0;4;2,5;2,5;5;5;5;0;3;0;;;1;79
D11948002;10;5;5;10;10;10;10;2;4;2;5;5;5;5;5;3;3;4;;;1;103
R09B48004;10;5;5;10;10;10;0;2;4;4;5;5;5;5;5;1,5;1,5;2;;;0,8;72
R11H41001;10;5;5;10;5;5;10;2;4;4;5;5;5;5;5;0;3;4;;;1;92
R10H41016;10;5;5;10;5;10;5;2;4;4;5;5;5;5;5;3;3;4;;;1;95
R11522812;10;5;5;10;5;5;10;2;4;4;5;5;5;0;5;3;3;4;;;1;90
